,Region,Country,State,City,Month,Day,Year,AvgTemperature
1457565,North America,US,Alabama,Birmingham,1,1,2013,52.5
1457566,North America,US,Alabama,Birmingham,1,2,2013,42.2
1457567,North America,US,Alabama,Birmingham,1,3,2013,37.8
1457568,North America,US,Alabama,Birmingham,1,4,2013,36.1
1457569,North America,US,Alabama,Birmingham,1,5,2013,39.0
1457570,North America,US,Alabama,Birmingham,1,6,2013,43.1
1457571,North America,US,Alabama,Birmingham,1,7,2013,40.0
1457572,North America,US,Alabama,Birmingham,1,8,2013,48.3
1457573,North America,US,Alabama,Birmingham,1,9,2013,55.3
1457574,North America,US,Alabama,Birmingham,1,10,2013,62.0
1457575,North America,US,Alabama,Birmingham,1,11,2013,65.1
1457576,North America,US,Alabama,Birmingham,1,12,2013,69.0
1457577,North America,US,Alabama,Birmingham,1,13,2013,67.2
1457578,North America,US,Alabama,Birmingham,1,14,2013,54.1
1457579,North America,US,Alabama,Birmingham,1,15,2013,41.6
1457580,North America,US,Alabama,Birmingham,1,16,2013,43.2
1457581,North America,US,Alabama,Birmingham,1,17,2013,38.8
1457582,North America,US,Alabama,Birmingham,1,18,2013,38.1
1457583,North America,US,Alabama,Birmingham,1,19,2013,42.0
1457584,North America,US,Alabama,Birmingham,1,20,2013,44.5
1457585,North America,US,Alabama,Birmingham,1,21,2013,43.0
1457586,North America,US,Alabama,Birmingham,1,22,2013,35.6
1457587,North America,US,Alabama,Birmingham,1,23,2013,41.0
1457588,North America,US,Alabama,Birmingham,1,24,2013,51.5
1457589,North America,US,Alabama,Birmingham,1,25,2013,51.3
1457590,North America,US,Alabama,Birmingham,1,26,2013,48.8
1457591,North America,US,Alabama,Birmingham,1,27,2013,52.0
1457592,North America,US,Alabama,Birmingham,1,28,2013,56.4
1457593,North America,US,Alabama,Birmingham,1,29,2013,61.1
1457594,North America,US,Alabama,Birmingham,1,30,2013,63.2
1457595,North America,US,Alabama,Birmingham,1,31,2013,41.3
1457596,North America,US,Alabama,Birmingham,2,1,2013,40.1
1457597,North America,US,Alabama,Birmingham,2,2,2013,37.5
1457598,North America,US,Alabama,Birmingham,2,3,2013,43.3
1457599,North America,US,Alabama,Birmingham,2,4,2013,42.9
1457600,North America,US,Alabama,Birmingham,2,5,2013,51.3
1457601,North America,US,Alabama,Birmingham,2,6,2013,54.2
1457602,North America,US,Alabama,Birmingham,2,7,2013,52.2
1457603,North America,US,Alabama,Birmingham,2,8,2013,49.8
1457604,North America,US,Alabama,Birmingham,2,9,2013,42.6
1457605,North America,US,Alabama,Birmingham,2,10,2013,51.0
1457606,North America,US,Alabama,Birmingham,2,11,2013,56.0
1457607,North America,US,Alabama,Birmingham,2,12,2013,47.7
1457608,North America,US,Alabama,Birmingham,2,13,2013,46.1
1457609,North America,US,Alabama,Birmingham,2,14,2013,43.1
1457610,North America,US,Alabama,Birmingham,2,15,2013,46.2
1457611,North America,US,Alabama,Birmingham,2,16,2013,41.4
1457612,North America,US,Alabama,Birmingham,2,17,2013,35.2
1457613,North America,US,Alabama,Birmingham,2,18,2013,47.7
1457614,North America,US,Alabama,Birmingham,2,19,2013,51.5
